problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,obj_val,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
GtsCe.graphml,149,386,1270793205,uniform,4.0,22052,2197.927978515625,ncflow_edge_per_iter,fm_partitioning,36,16,0.005397,4,True,inv-cap,0,2197.927960375154,0.03408384323120117,0.0018150806427001953,0.00922393798828125,0.0013353824615478516,0.01205301284790039,0.009656429290771484
GtsCe.graphml,149,386,1216622520,uniform,64.0,22052,35077.78125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005082,4,True,inv-cap,0,18234.790844498493,0.03458452224731445,0.005158185958862305,0.007026195526123047,0.0011668205261230469,0.015096902847290039,0.006136417388916016
GtsCe.graphml,149,386,1216622520,uniform,64.0,22052,35077.78125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005082,4,True,inv-cap,1,1403.7335653800396,0.022800207138061523,0.007215976715087891,0.0015718936920166016,0.0010993480682373047,0.011132955551147461,0.0017800331115722656
GtsCe.graphml,149,386,1216622520,uniform,64.0,22052,35077.78125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005082,4,True,inv-cap,2,499.2294529519096,0.01663970947265625,0.005776882171630859,0.0018291473388671875,0.0011348724365234375,0.006554126739501953,0.0013446807861328125
GtsCe.graphml,149,386,11310254,uniform,2.0,22052,1106.06396484375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005117,4,True,inv-cap,0,1106.0639802632068,0.041730642318725586,0.001544952392578125,0.008352994918823242,0.0013020038604736328,0.020595073699951172,0.009935617446899414
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005036,4,True,inv-cap,0,26051.380638930714,0.03171420097351074,0.00707697868347168,0.007833003997802734,0.001313924789428711,0.009859085083007812,0.005631208419799805
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005036,4,True,inv-cap,1,3317.1636207287565,0.025124311447143555,0.008443832397460938,0.0020380020141601562,0.0012631416320800781,0.011050939559936523,0.0023283958435058594
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005036,4,True,inv-cap,2,888.0525412108362,0.022780895233154297,0.008188962936401367,0.0018258094787597656,0.0012390613555908203,0.00967097282409668,0.001856088638305664
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005005,4,True,inv-cap,0,6875.636735013501,0.033774375915527344,0.003027200698852539,0.007930994033813477,0.0014081001281738281,0.011983871459960938,0.009424209594726562
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005005,4,True,inv-cap,1,474.2680268685799,0.008781194686889648,0.0015239715576171875,0.0017008781433105469,0.001245737075805664,0.0017979145050048828,0.002512693405151367
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005005,4,True,inv-cap,2,179.43572839908302,0.007531166076660156,0.0007510185241699219,0.0016150474548339844,0.0012400150299072266,0.0016181468963623047,0.0023069381713867188
GtsCe.graphml,149,386,1059025534,uniform,8.0,22052,4417.93310546875,ncflow_edge_per_iter,fm_partitioning,36,16,0.004705,4,True,inv-cap,0,4417.933191615775,0.030428409576416016,0.0016591548919677734,0.008360862731933594,0.0014443397521972656,0.008072137832641602,0.010891914367675781
GtsCe.graphml,149,386,1693860111,uniform,1.0,22052,550.3851318359375,ncflow_edge_per_iter,fm_partitioning,36,16,0.004619,4,True,inv-cap,0,550.385050246241,0.03970003128051758,0.0017228126525878906,0.008868932723999023,0.001447916030883789,0.016833066940307617,0.010827302932739258
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00506,4,True,inv-cap,0,11522.937696836103,0.033998727798461914,0.003515005111694336,0.0077741146087646484,0.0013375282287597656,0.013386964797973633,0.007985115051269531
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00506,4,True,inv-cap,1,748.6033142083625,0.014385700225830078,0.0029010772705078125,0.0017490386962890625,0.0012869834899902344,0.0062639713287353516,0.002184629440307617
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00506,4,True,inv-cap,2,245.89120754264968,0.009715080261230469,0.0021979808807373047,0.001870870590209961,0.0012600421905517578,0.002259969711303711,0.0021262168884277344
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,ncflow_edge_per_iter,fm_partitioning,36,16,0.005091,4,True,inv-cap,0,1992.7869543833658,0.029929399490356445,0.0017769336700439453,0.00833582878112793,0.0014519691467285156,0.0073299407958984375,0.011034727096557617
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,ncflow_edge_per_iter,fm_partitioning,36,16,0.004666,4,True,inv-cap,0,4016.525400270708,0.034903764724731445,0.0018868446350097656,0.011381864547729492,0.0014209747314453125,0.009742021560668945,0.01047205924987793
