problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1011338330,poisson,128.0,22052,103747.109375,pop,random,0,16,4,True,inv-cap,mcf,0.12107162355082,0.1370868682861328
GtsCe.graphml,149,386,1113602095,poisson,1.0,22052,810.587158203125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.01912403106689453
GtsCe.graphml,149,386,109801559,poisson,16.0,22052,12970.21484375,pop,random,0,16,4,True,inv-cap,mcf,0.92639914625034,0.0532379150390625
GtsCe.graphml,149,386,1051917258,poisson,64.0,22052,51880.984375,pop,random,0,16,4,True,inv-cap,mcf,0.23698371843254243,0.17265582084655762
GtsCe.graphml,149,386,1098771085,poisson,8.0,22052,6488.13232421875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.029072999954223633
GtsCe.graphml,149,386,343558094,poisson,32.0,22052,25936.82421875,pop,random,0,16,4,True,inv-cap,mcf,0.48248658856799836,0.132951021194458
UsCarrier.graphml,158,378,123874486,gravity,2.0,24806,1331.301513671875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.014304161071777344
UsCarrier.graphml,158,378,146569124,gravity,16.0,24806,10692.1904296875,pop,random,0,16,4,True,inv-cap,mcf,0.5841065172370273,0.05025792121887207
UsCarrier.graphml,158,378,1454580274,gravity,128.0,24806,85202.0078125,pop,random,0,16,4,True,inv-cap,mcf,0.07386207722596907,0.08376812934875488
UsCarrier.graphml,158,378,126410113,gravity,1.0,24805,667.4087524414062,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.014883995056152344
UsCarrier.graphml,158,378,1604631843,gravity,64.0,24806,42760.29296875,pop,random,0,16,4,True,inv-cap,mcf,0.13725592359484162,0.08991694450378418
UsCarrier.graphml,158,378,1416924748,gravity,32.0,24805,21322.865234375,pop,random,0,16,4,True,inv-cap,mcf,0.2895366795535081,0.0709080696105957
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.011754035949707031
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.04340386390686035
UsCarrier.graphml,158,378,1034066240,poisson,128.0,12515,1985528.25,pop,random,0.75,16,4,True,inv-cap,mcf,0.042547023820915214,0.0845479965209961
UsCarrier.graphml,158,378,1196923204,poisson,8.0,12574,124087.2890625,pop,random,0.75,16,4,True,inv-cap,mcf,0.617597148486195,0.059339046478271484
UsCarrier.graphml,158,378,1281112752,poisson,16.0,12555,248177.515625,pop,random,0.75,16,4,True,inv-cap,mcf,0.3258849716940988,0.05015707015991211
UsCarrier.graphml,158,378,1149123775,poisson,32.0,12588,496343.03125,pop,random,0.75,16,4,True,inv-cap,mcf,0.1531953354842241,0.05194997787475586
UsCarrier.graphml,158,378,1480195529,poisson,2.0,12541,31021.4375,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.02074289321899414
UsCarrier.graphml,158,378,1011993125,poisson,4.0,12573,62042.203125,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.02836298942565918
UsCarrier.graphml,158,378,1022383118,poisson,64.0,12595,992747.6875,pop,random,0.75,16,4,True,inv-cap,mcf,0.07845346729002091,0.04625296592712402
UsCarrier.graphml,158,378,1218360499,poisson,1.0,12528,15511.9248046875,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.011499166488647461
UsCarrier.graphml,158,378,1137013741,uniform,4.0,24806,2491.09326171875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.02130579948425293
UsCarrier.graphml,158,378,1074581961,uniform,32.0,24806,19758.568359375,pop,random,0,16,4,True,inv-cap,mcf,0.27895414265703816,0.06337285041809082
UsCarrier.graphml,158,378,1008633627,uniform,1.0,24806,617.4738159179688,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.021541833877563477
UsCarrier.graphml,158,378,1323869923,uniform,8.0,24806,4965.296875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.02480006217956543
UsCarrier.graphml,158,378,1535864789,uniform,2.0,24806,1233.8363037109375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.018377065658569336
UsCarrier.graphml,158,378,1031527041,uniform,64.0,24806,39653.7421875,pop,random,0,16,4,True,inv-cap,mcf,0.14497075375968232,0.08915901184082031
UsCarrier.graphml,158,378,1671427951,uniform,128.0,24806,79516.96875,pop,random,0,16,4,True,inv-cap,mcf,0.070344368775556,0.07795882225036621
UsCarrier.graphml,158,378,1938895536,uniform,16.0,24806,9959.509765625,pop,random,0,16,4,True,inv-cap,mcf,0.5692363671146663,0.04130387306213379
UsCarrier.graphml,158,378,1337948604,bimodal,1.0,24806,597.2951145666278,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.011076927185058594
UsCarrier.graphml,158,378,1238083148,bimodal,2.0,24806,1193.261558435041,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.01910710334777832
UsCarrier.graphml,158,378,1283103487,bimodal,16.0,24806,9553.223703555579,pop,random,0,16,4,True,inv-cap,mcf,0.5492394574628239,0.05028891563415527
UsCarrier.graphml,158,378,1099957192,bimodal,128.0,24806,76701.72364082049,pop,random,0,16,4,True,inv-cap,mcf,0.07239143607051446,0.09903311729431152
UsCarrier.graphml,158,378,1122135634,bimodal,64.0,24806,38127.13085891274,pop,random,0,16,4,True,inv-cap,mcf,0.148857915025676,0.11679792404174805
UsCarrier.graphml,158,378,1278115862,bimodal,8.0,24806,4805.786009890619,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.03085017204284668
UsCarrier.graphml,158,378,1213164476,bimodal,4.0,24806,2391.953595982057,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.010616064071655273
UsCarrier.graphml,158,378,1198839118,bimodal,32.0,24806,19140.934384430027,pop,random,0,16,4,True,inv-cap,mcf,0.27953131260585534,0.05537891387939453
UsCarrier.graphml,158,378,1353382228,poisson,128.0,24806,135739.34375,pop,random,0,16,4,True,inv-cap,mcf,0.0751353601390276,0.07062101364135742
UsCarrier.graphml,158,378,1977660080,poisson,8.0,24806,8481.78515625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.02902507781982422
UsCarrier.graphml,158,378,1061595861,poisson,32.0,24806,33933.796875,pop,random,0,16,4,True,inv-cap,mcf,0.28009571243548487,0.07573199272155762
UsCarrier.graphml,158,378,1733297565,poisson,64.0,24806,67858.5859375,pop,random,0,16,4,True,inv-cap,mcf,0.15275943947247206,0.08087301254272461
UsCarrier.graphml,158,378,2013435223,poisson,1.0,24806,1060.505859375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.011133909225463867
UsCarrier.graphml,158,378,1758646282,poisson,2.0,24806,2121.14501953125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.018762826919555664
UsCarrier.graphml,158,378,1082461213,poisson,16.0,24806,16968.974609375,pop,random,0,16,4,True,inv-cap,mcf,0.5969094135553904,0.05206608772277832
UsCarrier.graphml,158,378,1255092240,poisson,4.0,24806,4243.259765625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.018746137619018555
Cogentco.graphml,197,486,1085483962,gravity,16.0,38612,19241.53125,pop,random,0,16,4,True,inv-cap,mcf,0.6069496159580126,0.16981887817382812
Cogentco.graphml,197,486,142626253,gravity,128.0,38612,153760.609375,pop,random,0,16,4,True,inv-cap,mcf,0.07641833565525818,0.22965502738952637
