problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,num_commodities,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1051917258,64.0,poisson,22052,51880.984375,path_formulation,4,True,inv-cap,mcf,0.2707920541845841,5.836292028427124
GtsCe.graphml,149,386,1098771085,8.0,poisson,22052,6488.13232421875,path_formulation,4,True,inv-cap,mcf,1.0,0.5089709758758545
GtsCe.graphml,149,386,343558094,32.0,poisson,22052,25936.82421875,path_formulation,4,True,inv-cap,mcf,0.5421749339142383,5.69420599937439
UsCarrier.graphml,158,378,1137013741,4.0,uniform,24806,2491.09326171875,path_formulation,4,True,inv-cap,mcf,1.0,0.17201495170593262
UsCarrier.graphml,158,378,1074581961,32.0,uniform,24806,19758.568359375,path_formulation,4,True,inv-cap,mcf,0.31311303489582215,4.153562784194946
UsCarrier.graphml,158,378,1008633627,1.0,uniform,24806,617.4738159179688,path_formulation,4,True,inv-cap,mcf,1.0,0.24909687042236328
UsCarrier.graphml,158,378,1323869923,8.0,uniform,24806,4965.296875,path_formulation,4,True,inv-cap,mcf,1.0,1.7492690086364746
UsCarrier.graphml,158,378,1535864789,2.0,uniform,24806,1233.8363037109375,path_formulation,4,True,inv-cap,mcf,1.0,0.16959786415100098
UsCarrier.graphml,158,378,1031527041,64.0,uniform,24806,39653.7421875,path_formulation,4,True,inv-cap,mcf,0.15885982672864238,4.205625057220459
UsCarrier.graphml,158,378,1671427951,128.0,uniform,24806,79516.96875,path_formulation,4,True,inv-cap,mcf,0.07963022608560369,4.413999080657959
UsCarrier.graphml,158,378,1938895536,16.0,uniform,24806,9959.509765625,path_formulation,4,True,inv-cap,mcf,0.6243475424682211,3.596421957015991
UsCarrier.graphml,158,378,123874486,2.0,gravity,24806,1331.301513671875,path_formulation,4,True,inv-cap,mcf,1.0,0.2490091323852539
UsCarrier.graphml,158,378,146569124,16.0,gravity,24806,10692.1904296875,path_formulation,4,True,inv-cap,mcf,0.6437683110370277,3.4177379608154297
UsCarrier.graphml,158,378,1454580274,128.0,gravity,24806,85202.0078125,path_formulation,4,True,inv-cap,mcf,0.08069310743162014,4.457664966583252
UsCarrier.graphml,158,378,126410113,1.0,gravity,24805,667.4087524414062,path_formulation,4,True,inv-cap,mcf,1.0,0.18989109992980957
UsCarrier.graphml,158,378,1604631843,64.0,gravity,24806,42760.29296875,path_formulation,4,True,inv-cap,mcf,0.16088132041197883,4.041014909744263
UsCarrier.graphml,158,378,1416924748,32.0,gravity,24805,21322.865234375,path_formulation,4,True,inv-cap,mcf,0.3202732251301728,4.488866806030273
UsCarrier.graphml,158,378,63124174,4.0,gravity,24806,2662.46875,path_formulation,4,True,inv-cap,mcf,1.0,0.21262288093566895
UsCarrier.graphml,158,378,2021178515,8.0,gravity,24805,5313.4619140625,path_formulation,4,True,inv-cap,mcf,1.0,2.261620044708252
UsCarrier.graphml,158,378,1337948604,1.0,bimodal,24806,597.2951145666278,path_formulation,4,True,inv-cap,mcf,1.0,0.1709442138671875
UsCarrier.graphml,158,378,1238083148,2.0,bimodal,24806,1193.261558435041,path_formulation,4,True,inv-cap,mcf,1.0,0.1597750186920166
UsCarrier.graphml,158,378,1283103487,16.0,bimodal,24806,9553.223703555579,path_formulation,4,True,inv-cap,mcf,0.6555979384221086,3.66084885597229
UsCarrier.graphml,158,378,1099957192,128.0,bimodal,24806,76701.72364082049,path_formulation,4,True,inv-cap,mcf,0.0819343335507375,4.240119934082031
UsCarrier.graphml,158,378,1122135634,64.0,bimodal,24806,38127.13085891274,path_formulation,4,True,inv-cap,mcf,0.16632472477180485,4.326594829559326
UsCarrier.graphml,158,378,1278115862,8.0,bimodal,24806,4805.786009890619,path_formulation,4,True,inv-cap,mcf,1.0,1.6643800735473633
UsCarrier.graphml,158,378,1213164476,4.0,bimodal,24806,2391.953595982057,path_formulation,4,True,inv-cap,mcf,1.0,0.18940401077270508
UsCarrier.graphml,158,378,1198839118,32.0,bimodal,24806,19140.934384430027,path_formulation,4,True,inv-cap,mcf,0.32364079844510574,4.428972005844116
UsCarrier.graphml,158,378,1034066240,128.0,poisson,12515,1985528.25,path_formulation,4,True,inv-cap,mcf,0.07578976800936267,1.8144278526306152
UsCarrier.graphml,158,378,1196923204,8.0,poisson,12574,124087.2890625,path_formulation,4,True,inv-cap,mcf,1.0,0.40496110916137695
UsCarrier.graphml,158,378,1281112752,16.0,poisson,12555,248177.515625,path_formulation,4,True,inv-cap,mcf,0.6061107002799504,1.0002648830413818
UsCarrier.graphml,158,378,1149123775,32.0,poisson,12588,496343.03125,path_formulation,4,True,inv-cap,mcf,0.3029893241408975,0.9279239177703857
UsCarrier.graphml,158,378,1480195529,2.0,poisson,12541,31021.4375,path_formulation,4,True,inv-cap,mcf,1.0,0.4384419918060303
UsCarrier.graphml,158,378,1011993125,4.0,poisson,12573,62042.203125,path_formulation,4,True,inv-cap,mcf,1.0,0.5017201900482178
UsCarrier.graphml,158,378,1022383118,64.0,poisson,12595,992747.6875,path_formulation,4,True,inv-cap,mcf,0.15145941654894002,0.9441170692443848
UsCarrier.graphml,158,378,1218360499,1.0,poisson,12528,15511.9248046875,path_formulation,4,True,inv-cap,mcf,1.0,0.08376502990722656
UsCarrier.graphml,158,378,1353382228,128.0,poisson,24806,135739.34375,path_formulation,4,True,inv-cap,mcf,0.08309081506514533,4.759697914123535
UsCarrier.graphml,158,378,1977660080,8.0,poisson,24806,8481.78515625,path_formulation,4,True,inv-cap,mcf,1.0,2.5646209716796875
UsCarrier.graphml,158,378,1061595861,32.0,poisson,24806,33933.796875,path_formulation,4,True,inv-cap,mcf,0.3328283060305421,4.35231614112854
UsCarrier.graphml,158,378,1733297565,64.0,poisson,24806,67858.5859375,path_formulation,4,True,inv-cap,mcf,0.16614661993392438,4.398490905761719
UsCarrier.graphml,158,378,2013435223,1.0,poisson,24806,1060.505859375,path_formulation,4,True,inv-cap,mcf,1.0,0.19902610778808594
UsCarrier.graphml,158,378,1758646282,2.0,poisson,24806,2121.14501953125,path_formulation,4,True,inv-cap,mcf,1.0,0.14870691299438477
UsCarrier.graphml,158,378,1082461213,16.0,poisson,24806,16968.974609375,path_formulation,4,True,inv-cap,mcf,0.6654041423290383,4.169723987579346
UsCarrier.graphml,158,378,1255092240,4.0,poisson,24806,4243.259765625,path_formulation,4,True,inv-cap,mcf,1.0,0.15597105026245117
Cogentco.graphml,197,486,145832539,32.0,uniform,38612,37110.59765625,path_formulation,4,True,inv-cap,mcf,0.33725584514402573,13.031398057937622
Cogentco.graphml,197,486,1110567089,4.0,uniform,38612,4635.0703125,path_formulation,4,True,inv-cap,mcf,1.0,0.49664306640625
Cogentco.graphml,197,486,1022466024,16.0,uniform,38612,18592.33984375,path_formulation,4,True,inv-cap,mcf,0.6738544892602295,11.911677122116089
Cogentco.graphml,197,486,163696636,128.0,uniform,38612,148869.9375,path_formulation,4,True,inv-cap,mcf,0.08474677524718838,13.047426223754883
Cogentco.graphml,197,486,1529536688,1.0,uniform,38612,1159.03173828125,path_formulation,4,True,inv-cap,mcf,1.0,0.5129551887512207
Cogentco.graphml,197,486,1147413089,2.0,uniform,38612,2311.373046875,path_formulation,4,True,inv-cap,mcf,1.0,0.46356892585754395
Cogentco.graphml,197,486,174559812,8.0,uniform,38612,9273.921875,path_formulation,4,True,inv-cap,mcf,1.0,3.4139180183410645
Cogentco.graphml,197,486,1911278421,64.0,uniform,38612,74223.2890625,path_formulation,4,True,inv-cap,mcf,0.17045789525044952,13.637619018554688
Cogentco.graphml,197,486,1085483962,16.0,gravity,38612,19241.53125,path_formulation,4,True,inv-cap,mcf,0.6645181895284753,12.511782884597778
Cogentco.graphml,197,486,142626253,128.0,gravity,38612,153760.609375,path_formulation,4,True,inv-cap,mcf,0.08318698757914603,11.44501805305481
Cogentco.graphml,197,486,1425924102,4.0,gravity,38612,4809.27294921875,path_formulation,4,True,inv-cap,mcf,1.0,0.5736649036407471
Cogentco.graphml,197,486,1374632450,1.0,gravity,38610,1201.3656005859375,path_formulation,4,True,inv-cap,mcf,1.0,0.30334997177124023
Cogentco.graphml,197,486,1229219359,64.0,gravity,38610,76765.140625,path_formulation,4,True,inv-cap,mcf,0.16661486981266657,12.148079872131348
Cogentco.graphml,197,486,1486627102,32.0,gravity,38612,38399.109375,path_formulation,4,True,inv-cap,mcf,0.33125861230491666,17.791785955429077
Cogentco.graphml,197,486,1877587945,8.0,gravity,38611,9602.759765625,path_formulation,4,True,inv-cap,mcf,1.0,3.727337121963501
Cogentco.graphml,197,486,1176656848,2.0,gravity,38609,2402.759521484375,path_formulation,4,True,inv-cap,mcf,1.0,0.45465707778930664
Cogentco.graphml,197,486,1261070367,128.0,bimodal,38612,148087.83557016632,path_formulation,4,True,inv-cap,mcf,0.08561890552440285,12.55084490776062
Cogentco.graphml,197,486,1123824412,4.0,bimodal,38612,4626.832950412587,path_formulation,4,True,inv-cap,mcf,1.0,0.42168712615966797
Cogentco.graphml,197,486,1297305407,8.0,bimodal,38612,9352.96370890008,path_formulation,4,True,inv-cap,mcf,1.0,3.6840951442718506
Cogentco.graphml,197,486,1318417115,2.0,bimodal,38612,2289.315020917489,path_formulation,4,True,inv-cap,mcf,1.0,0.49062585830688477
Cogentco.graphml,197,486,1709348441,1.0,bimodal,38612,1155.6177098862142,path_formulation,4,True,inv-cap,mcf,1.0,0.46399879455566406
Cogentco.graphml,197,486,1541550360,16.0,bimodal,38612,18687.208735557986,path_formulation,4,True,inv-cap,mcf,0.669608733432932,12.041765213012695
Cogentco.graphml,197,486,1652071748,64.0,bimodal,38612,74564.89470300866,path_formulation,4,True,inv-cap,mcf,0.1697504464227573,14.25780701637268
